freq_mhz,step,ue_id,prx_dbm,prx_dbm_theo
3500.0,1,0,-72.46890602243342,-48.99902401824711
3500.0,1,1,-72.52877576688043,-54.3127880418116
3500.0,1,2,-93.23733977636708,-58.39269853148351
3500.0,1,3,-79.09060843806776,-54.91248780165656
3500.0,1,4,-75.32764393154041,-54.83330500623334
3500.0,2,0,-72.46458099383321,-48.989964411205435
3500.0,2,1,-72.52691527471137,-54.312885673207525
3500.0,2,2,-93.22658700155868,-58.39055591239143
3500.0,2,3,-79.09135202507174,-54.91355881950485
3500.0,2,4,-75.31554252244558,-54.83064188631293
3500.0,3,0,-72.45754618167464,-48.976211074406
3500.0,3,1,-72.52911714499417,-54.31360116451986
3500.0,3,2,-93.21025770867237,-58.386826054404125
3500.0,3,3,-79.09139162795044,-54.914143343163474
3500.0,3,4,-75.29871514524446,-54.82680601396847
3500.0,4,0,-72.44818666468694,-48.95667777573407
3500.0,4,1,-72.52572958370182,-54.31499861685117
3500.0,4,2,-93.18902417032672,-58.38113461760818
3500.0,4,3,-79.09070376262035,-54.91345422070512
3500.0,4,4,-75.27148861882785,-54.82166921558108
3500.0,5,0,-72.43499634411035,-48.930456957246264
3500.0,5,1,-72.52537165403218,-54.31712370629175
3500.0,5,2,-93.16259229757136,-58.37318272766154
3500.0,5,3,-79.08843658294815,-54.9108423221474
3500.0,5,4,-75.2442486434041,-54.815132822387866
3500.0,6,0,-72.41787965885251,-48.89685772743985
3500.0,6,1,-72.52863421720158,-54.32003688261611
3500.0,6,2,-93.12932960413909,-58.36273238847328
3500.0,6,3,-79.08415665392114,-54.905780221390756
3500.0,6,4,-75.21097197408383,-54.80714205381051
3500.0,7,0,-72.39622158420838,-48.855231815983956
3500.0,7,1,-72.52595988175977,-54.32376546218447
3500.0,7,2,-93.08643065583261,-58.34959516841338
3500.0,7,3,-79.07741519346305,-54.897828515386536
3500.0,7,4,-75.17244804268265,-54.79764854866359
3500.0,8,0,-72.36958580106463,-48.80516216822705
3500.0,8,1,-72.52695151045437,-54.328391421268634
3500.0,8,2,-93.01742828325897,-58.33361734589345
3500.0,8,3,-79.06800043323963,-54.88663257968197
3500.0,8,4,-75.12798322955142,-54.78666045876696
3500.0,9,0,-72.33743708025574,-48.74625765661001
3500.0,9,1,-72.51331588919291,-54.33397593871496
3500.0,9,2,-92.96055208814889,-58.31467931467398
3500.0,9,3,-79.0555582850857,-54.87189934783041
3500.0,9,4,-75.07701938542004,-54.77419379909651
3500.0,10,0,-72.30019745233952,-48.67828644948881
3500.0,10,1,-72.51790498525047,-54.34062724829799
3500.0,10,2,-92.89368446275068,-58.292680124634856
3500.0,10,3,-79.03635138086045,-54.85338825835533
3500.0,10,4,-75.00522993897967,-54.76030838463254
3500.0,11,0,-72.25682027625481,-48.60106445207382
3500.0,11,1,-72.52200683272177,-54.34845422136249
3500.0,11,2,-92.81280596092138,-58.267539548606244
3500.0,11,3,-79.01735209403462,-54.83090101810511
3500.0,11,4,-74.94249655033275,-54.74508049918523
3500.0,12,0,-72.20821554521532,-48.51451058819685
3500.0,12,1,-72.52881158658548,-54.3575926919075
3500.0,12,2,-92.71769772381796,-58.23919032804035
3500.0,12,3,-78.9947769782473,-54.804273728966855
3500.0,12,4,-74.87553689594606,-54.72861576756989
3500.0,13,0,-72.15220222947097,-48.41849429852172
3500.0,13,1,-72.53696501517874,-54.368139972515976
3500.0,13,2,-92.60427385231156,-58.207588077517904
3500.0,13,3,-78.96853507909917,-54.773374039668354
3500.0,13,4,-74.78939897679042,-54.711012224210215
3500.0,14,0,-72.09257641652108,-48.314192414494286
3500.0,14,1,-72.56146015180889,-54.38063846818804
3500.0,14,2,-92.46938071737628,-58.17265705672293
3500.0,14,3,-78.93843829666687,-54.7381500120721
3500.0,14,4,-74.55691042442892,-54.6926637058032
3500.0,15,0,-72.02960176481918,-48.20409351362811
3500.0,15,1,-72.57538105912714,-54.39564949334721
3500.0,15,2,-94.28172543291204,-58.13459198005025
3500.0,15,3,-78.9045308114801,-54.69901077267622
3500.0,15,4,-74.46883938086188,-54.67415748207631
3500.0,16,0,-71.96424158362686,-48.09002034753176
3500.0,16,1,-72.6096410984785,-54.41318892002583
3500.0,16,2,-93.98886062168938,-58.09380983843565
3500.0,16,3,-78.86830524567782,-54.65658943594869
3500.0,16,4,-72.94271202650117,-54.655844811115
3500.0,17,0,-71.89683575600793,-47.97302244287364
3500.0,17,1,-72.63993570245049,-54.433035253309285
3500.0,17,2,-93.65804568646408,-58.05070104946717
3500.0,17,3,-78.98517017984699,-54.61141686541561
3500.0,17,4,-72.85815817963729,-54.637892493049875
3500.0,18,0,-71.82740689154463,-47.85411149361093
3500.0,18,1,-72.6755602640226,-54.455023620875046
3500.0,18,2,-93.26224750945472,-58.00557976025414
3500.0,18,3,-78.939539628489,-54.56392318880582
3500.0,18,4,-72.77326694009056,-54.62045574571118
3500.0,19,0,-71.7568596081651,-47.73404993895821
3500.0,19,1,-72.71747718661399,-54.47897011478739
